"대구광역시","기타 및 미상",87,69,166,170,200,180,308,335,279,299,343,385,404,417,930,987,1019,1078
"인천광역시","계",7116,7176,7097,7108,6988,7105,7011,7139,7176,7333,6931,7034,6740,6946,6045,6098,6243,6310
"인천광역시","관리자",313,86,596,210,605,169,547,163,620,199,404,153,498,176,444,146,380,117
"인천광역시","전문가 및 관련 종사자",970,729,825,720,814,728,753,645,768,721,555,504,702,639,684,596,497,487
"인천광역시","사무 종사자",1205,1032,758,803,778,808,655,807,634,773,504,577,570,730,744,956,604,649
"인천광역시","서비스 및 판매 종사자",1470,1287,1314,1334,1379,1489,1421,1648,1305,1634,971,1142,1168,1392,967,1195,820,1009
"인천광역시","농림어업 숙련 종사자",64,15,63,18,75,26,123,95,50,14,20,11,38,19,40,7,40,15
"인천광역시","기능원 및 관련 기능 종사자",473,94,515,110,420,103,686,192,712,172,466,100,598,127,452,120,378,94
"인천광역시","장치,기계 조작 및 조립 종사자",341,49,394,66,432,63,318,126,222,47,155,27,157,40,157,16,123,34
"인천광역시","단순노무 종사자",643,359,653,398,699,451,747,501,722,425,528,303,595,385,483,315,418,244
"인천광역시","무직, 가사, 학생",1334,3290,1024,2517,969,2380,584,1735,475,1623,394,1163,572,1483,432,1123,326,974
"인천광역시","기타 및 미상",303,235,955,932,817,888,1177,1227,1668,1725,2934,3054,1842,1955,1642,1624,2657,2687
"광주광역시","계",2842,3005,2817,3045,2694,2882,2887,3092,2915,3032,2604,2805,2572,2769,2360,2527,2399,2595
"광주광역시","관리자",251,92,274,109,263,81,265,104,244,81,178,45,122,34,136,59,114,38
"광주광역시","전문가 및 관련 종사자",322,279,360,353,371,397,328,377,338,368,246,261,205,246,191,254,183,211
"광주광역시","사무 종사자",250,266,260,296,360,408,538,584,408,460,413,489,245,250,176,234,162,209
"광주광역시","서비스 및 판매 종사자",616,716,618,677,572,638,692,944,769,1004,599,752,559,649,339,390,296,355
"광주광역시","농림어업 숙련 종사자",53,18,45,11,43,14,34,11,35,17,20,13,24,17,16,10,10,3
"광주광역시","기능원 및 관련 기능 종사자",280,44,234,37,219,69,321,65,323,60,200,47,191,38,165,35,149,34
"광주광역시","장치,기계 조작 및 조립 종사자",187,30,182,37,166,30,111,14,94,14,62,13,51,10,37,4,42,6
"광주광역시","단순노무 종사자",319,167,301,170,244,127,231,161,339,181,196,108,133,85,157,93,103,73
"광주광역시","무직, 가사, 학생",467,1303,432,1247,376,1061,266,727,255,739,231,581,126,460,129,376,96,319
"광주광역시","기타 및 미상",97,90,111,108,80,57,101,105,110,108,459,496,916,980,1014,1072,1244,1347
"대전광역시","계",2999,3171,2890,2948,2855,2934,3008,3079,3097,3143,3009,3135,2754,2935,2492,2681,2471,2580
"대전광역시","관리자",242,67,266,77,259,78,258,87,277,80,194,58,207,56,146,58,169,63
"대전광역시","전문가 및 관련 종사자",384,311,356,329,392,335,397,396,424,383,361,357,363,332,272,264,385,363
"대전광역시","사무 종사자",271,284,244,265,226,256,307,349,309,368,250,335,295,330,255,269,273,315
"대전광역시","서비스 및 판매 종사자",724,795,716,755,656,734,712,839,667,867,649,752,575,716,422,548,521,607
"대전광역시","농림어업 숙련 종사자",31,11,27,8,24,13,29,9,23,12,26,15,26,11,18,12,15,17
"대전광역시","기능원 및 관련 기능 종사자",220,49,227,33,207,57,283,63,307,58,244,60,227,45,173,40,196,42
"대전광역시","장치,기계 조작 및 조립 종사자",129,9,134,13,135,12,75,13,68,4,72,13,54,8,50,4,50,18
"대전광역시","단순노무 종사자",345,182,291,157,300,167,346,188,360,198,296,166,271,158,188,127,228,120
"대전광역시","무직, 가사, 학생",512,1307,467,1166,459,1108,263,791,258,789,262,679,416,944,262,572,211,560
"대전광역시","기타 및 미상",141,156,162,145,197,174,338,344,404,384,655,700,320,335,706,787,423,475
"울산광역시","계",2406,2297,2520,2435,2519,2396,2658,2503,2534,2464,2460,2388,2425,2311,2165,2060,2060,1982
"울산광역시","관리자",194,39,218,63,249,60,245,50,236,40,175,44,217,49,147,31,131,23
"울산광역시","전문가 및 관련 종사자",281,212,274,227,252,219,260,297,276,288,229,227,241,241,174,168,149,168
"울산광역시","사무 종사자",242,179,231,196,214,210,264,216,222,246,236,215,196,202,144,159,188,163
"울산광역시","서비스 및 판매 종사자",351,518,401,597,381,522,480,679,455,680,431,581,422,544,447,412,271,404
"울산광역시","농림어업 숙련 종사자",26,11,36,9,30,11,29,6,25,8,16,5,22,5,18,12,22,2
"울산광역시","기능원 및 관련 기능 종사자",383,60,378,62,323,65,442,63,430,61,401,65,356,47,252,45,279,40
"울산광역시","장치,기계 조작 및 조립 종사자",297,27,282,35,291,35,179,20,169,13,138,14,110,12,70,9,73,8
"울산광역시","단순노무 종사자",301,172,278,124,294,122,397,174,337,186,307,154,282,144,205,102,189,99
"울산광역시","무직, 가사, 학생",315,1066,330,1041,342,1017,238,888,222,773,221,760,237,723,162,577,114,406
"울산광역시","기타 및 미상",16,13,92,81,143,135,124,110,162,169,306,323,342,344,546,545,644,669
"세종특별자치시","계",324,293,343,379,465,451,485,515,606,649,601,624,624,610,546,564,569,564
"세종특별자치시","관리자",19,10,28,10,49,11,50,18,68,20,61,21,57,26,44,20,55,20
"세종특별자치시","전문가 및 관련 종사자",35,25,60,51,65,58,73,70,102,108,88,89,98,83,74,73,77,80
"세종특별자치시","사무 종사자",47,32,51,45,42,56,60,61,94,102,89,104,101,89,78,72,95,82
"세종특별자치시","서비스 및 판매 종사자",64,68,52,81,66,71,92,113,107,134,120,137,110,140,80,115,98,127
"세종특별자치시","농림어업 숙련 종사자",9,1,13,3,15,1,16,4,13,3,15,1,15,3,8,3,7,1
"세종특별자치시","기능원 및 관련 기능 종사자",26,2,21,4,36,11,49,11,47,10,44,15,40,8,34,9,35,14
