기본항목별,2015,2016,2017,2018,2019,2020,2021,2022,2023
이혼건수(건),109153,107328,106032,108684,110831,106500,101673,93232,92394
조이혼율(천명당),2.1,2.1,2.1,2.1,2.2,2.1,2,1.8,1.8
