기본항목별,2015,2016,2017,2018,2019,2020,2021,2022,2023
혼인건수(건),302828,281635,264455,257622,239159,213502,192507,191690,193657
조혼인율(천명당),5.9,5.5,5.2,5,4.7,4.2,3.8,3.7,3.8
