"시도별","동거기간별",2015,2016,2017,2018,2019,2020,2021,2022,2023
"경기도","15∼19년",4285,3779,3585,3553,3399,3177,3067,3048,3174
"경기도","20년이상",8182,8074,8458,9362,9712,10183,10562,8931,8504
"경기도","20∼24년",3447,3304,3301,3509,3541,3546,3342,2782,2808
"경기도","25∼29년",2314,2223,2304,2544,2617,2570,2648,2247,2078
"경기도","30년이상",2421,2547,2853,3309,3554,4067,4572,3902,3618
"경기도","미상",0,0,0,0,0,0,0,0,0
"강원특별자치도","계",3484,3482,3263,3418,3624,3358,3161,3117,2961
"강원특별자치도","0∼4년",740,807,758,758,787,727,646,612,535
"강원특별자치도","5∼9년",643,621,574,616,612,526,524,548,514
"강원특별자치도","10∼14년",497,497,459,479,511,507,433,484,467
"강원특별자치도","15∼19년",561,483,452,404,458,385,378,394,374
"강원특별자치도","20년이상",1043,1074,1020,1161,1256,1213,1180,1079,1071
"강원특별자치도","20∼24년",444,399,378,430,448,385,363,321,328
"강원특별자치도","25∼29년",271,286,282,291,294,306,273,253,263
"강원특별자치도","30년이상",328,389,360,440,514,522,544,505,480
"강원특별자치도","미상",0,0,0,0,0,0,0,0,0
"충청북도","계",3486,3446,3461,3543,3699,3492,3256,3271,3255
"충청북도","0∼4년",807,799,847,825,853,773,712,695,657
"충청북도","5∼9년",674,638,694,674,679,640,590,621,573
"충청북도","10∼14년",506,504,508,493,536,512,463,468,546
"충청북도","15∼19년",535,521,427,433,412,377,329,375,395
"충청북도","20년이상",964,984,985,1118,1219,1190,1162,1112,1084
"충청북도","20∼24년",406,435,384,429,451,412,367,338,359
"충청북도","25∼29년",254,251,268,266,339,325,297,281,283
"충청북도","30년이상",304,298,333,423,429,453,498,493,442
"충청북도","미상",0,0,0,0,0,0,0,0,0
"충청남도","계",4724,4682,4835,4842,5202,5003,4798,4527,4429
"충청남도","0∼4년",1182,1193,1161,1123,1239,1108,979,886,862
"충청남도","5∼9년",974,981,1012,1017,993,946,863,870,835
"충청남도","10∼14년",695,663,769,764,795,771,755,699,746
"충청남도","15∼19년",632,636,630,573,625,526,538,576,551
"충청남도","20년이상",1241,1209,1263,1365,1550,1652,1663,1496,1435
"충청남도","20∼24년",530,515,514,508,600,586,553,498,460
"충청남도","25∼29년",318,319,321,386,388,409,392,372,360
"충청남도","30년이상",393,375,428,471,562,657,718,626,615
"충청남도","미상",0,0,0,0,0,0,0,0,0
"전라북도","계",3755,3979,3698,3934,4007,3763,3748,3377,3420
"전라북도","0∼4년",852,933,829,831,800,733,672,603,598
"전라북도","5∼9년",761,796,691,723,751,673,639,615,603
"전라북도","10∼14년",536,593,581,594,569,510,558,512,517
"전라북도","15∼19년",588,569,500,530,507,432,424,402,443
"전라북도","20년이상",1018,1088,1097,1256,1380,1415,1455,1245,1259
"전라북도","20∼24년",435,451,408,462,503,481,444,398,422
"전라북도","25∼29년",239,274,302,312,344,362,369,308,288
"전라북도","30년이상",344,363,387,482,533,572,642,539,549
"전라북도","미상",0,0,0,0,0,0,0,0,0
"전라남도","계",4033,3965,4008,4170,4130,3907,3776,3565,3517
"전라남도","0∼4년",984,936,910,896,886,761,718,667,596
"전라남도","5∼9년",771,777,793,867,804,667,672,642,618
"전라남도","10∼14년",542,560,584,580,637,642,654,546,602
"전라남도","15∼19년",626,569,545,566,505,465,395,426,467
"전라남도","20년이상",1110,1123,1176,1261,1298,1372,1337,1284,1234
"전라남도","20∼24년",435,448,468,473,449,472,414,385,352
"전라남도","25∼29년",298,305,319,338,310,360,326,292,315
"전라남도","30년이상",377,370,389,450,539,540,597,607,567
"전라남도","미상",0,0,0,0,0,0,0,0,0
"경상북도","계",5348,5375,5505,5620,5635,5553,5097,4911,4870
"경상북도","0∼4년",1233,1276,1285,1223,1179,1106,973,886,832
"경상북도","5∼9년",1055,1063,1115,1031,1025,973,928,921,870
"경상북도","10∼14년",722,750,797,849,858,833,772,758,778
"경상북도","15∼19년",786,721,727,706,654,644,555,556,619
"경상북도","20년이상",1552,1565,1581,1811,1919,1997,1869,1790,1771
"경상북도","20∼24년",649,611,622,654,671,696,583,539,522
"경상북도","25∼29년",399,439,415,513,536,499,446,445,451
"경상북도","30년이상",504,515,544,644,712,802,840,806,798
"경상북도","미상",0,0,0,0,0,0,0,0,0
"경상남도","계",7368,7486,7355,7575,7827,7368,7034,6530,6471
"경상남도","0∼4년",1706,1672,1635,1588,1618,1427,1281,1131,1059
"경상남도","5∼9년",1369,1470,1423,1441,1427,1333,1306,1235,1133
"경상남도","10∼14년",1072,1063,1091,1208,1249,1186,1080,1065,1078
"경상남도","15∼19년",1125,1073,961,927,932,850,796,820,872
"경상남도","20년이상",2096,2208,2245,2411,2601,2572,2571,2279,2329
"경상남도","20∼24년",843,939,901,938,981,875,865,741,690
"경상남도","25∼29년",586,619,611,634,686,670,621,579,590
"경상남도","30년이상",667,650,733,839,934,1027,1085,959,1049
"경상남도","미상",0,0,0,0,0,0,0,0,0
"제주특별자치도","계",1447,1552,1530,1607,1716,1744,1490,1564,1493
"제주특별자치도","0∼4년",414,419,410,434,453,413,338,315,342
"제주특별자치도","5∼9년",283,302,316,302,360,365,334,335,302
"제주특별자치도","10∼14년",232,221,218,230,219,254,192,265,227
"제주특별자치도","15∼19년",186,220,197,205,200,204,177,170,169
"제주특별자치도","20년이상",332,390,389,436,484,508,449,479,453
"제주특별자치도","20∼24년",159,173,166,165,194,188,166,183,149
"제주특별자치도","25∼29년",74,102,107,128,136,139,122,122,116
"제주특별자치도","30년이상",99,115,116,143,154,181,161,174,188
"제주특별자치도","미상",0,0,0,0,0,0,0,0,0
"국외","계",2811,1952,1818,1894,1796,1600,1616,1526,1623
"국외","0∼4년",1014,683,656,606,578,507,533,517,476
"국외","5∼9년",922,620,530,522,470,413,376,341,442
"국외","10∼14년",395,290,321,366,350,287,270,256,261
"국외","15∼19년",200,151,115,163,182,144,200,175,227
"국외","20년이상",280,208,196,237,216,249,237,237,217
"국외","20∼24년",130,94,76,81,79,88,101,100,90
"국외","25∼29년",85,65,66,91,73,76,60,43,41
"국외","30년이상",65,49,54,65,64,85,76,94,86
"국외","미상",0,0,0,0,0,0,0,0,0
